CruiseDate,Depth,Lat,Lon,Species,NumberOfIndividuals,TotalWeight,Commercial,Season
4/28/2013,40,31.70973333,34.46486667,Lagocephalus spadiceus,1,230,NonCommercial,spring
4/28/2013,40,31.70973333,34.46486667,Spicara maena,487,11020,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Dentex maroccanus,69,2369,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Pagellus erythrinus,51,2210,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Nemipterus randalli,15,262,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Boops boops,280,3860,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Raja clavata,4,6360,NonCommercial,spring
4/30/2013,70,31.82355,34.47836667,Spicara smaris,128,960,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Spicara maena,163,3020,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Lepidotrigla cavillone,4,50,NonCommercial,spring
4/30/2013,70,31.82355,34.47836667,Mullus barbatus,2,110,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Apogon fasciatus,6,41,NonCommercial,spring
4/30/2013,70,31.82355,34.47836667,Leiognathus klunzingeri,1,3,NonCommercial,spring
4/30/2013,70,31.82355,34.47836667,Zeus faber,5,52,NonCommercial,spring
4/30/2013,70,31.82355,34.47836667,Trachurus trachurus,2,13,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Synodus saurus,3,174,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Saurida undosquamis,5,114,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Macrorhamphosus scolopax,10,40,NonCommercial,spring
4/30/2013,70,31.82355,34.47836667,Nemipterus randalli,16,268,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Upeneus moluccensis,10,150,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Scomber japonicus,1,198,Commercial,spring
4/30/2013,70,31.82355,34.47836667,Serranus hepatus,45,346,NonCommercial,spring
4/30/2013,100,31.71938333,34.35876667,Upeneus moluccensis,47,629,Commercial,spring
4/30/2013,100,31.71938333,34.35876667,Dentex maroccanus,224,6617,Commercial,spring
4/30/2013,100,31.71938333,34.35876667,Citharus linguatula,5,97,NonCommercial,spring
